326.00	316.00	438.00	316.00	445.00	467.00	333.00	467.00	
325.70	316.46	441.89	316.46	441.89	465.61	325.70	465.61	
325.15	316.13	442.44	316.13	442.44	465.92	325.15	465.92	
325.38	316.26	442.22	316.26	442.22	465.80	325.38	465.80	
325.38	316.27	442.22	316.27	442.22	465.79	325.38	465.79	
325.44	315.77	442.16	315.77	442.16	467.01	325.44	467.01	
325.47	315.78	442.13	315.78	442.13	467.02	325.47	467.02	
325.47	315.78	442.14	315.78	442.14	467.01	325.47	467.01	
325.47	315.84	442.12	315.84	442.12	467.02	325.47	467.02	
325.24	316.05	442.37	316.05	442.37	465.99	325.24	465.99	
325.43	315.80	442.17	315.80	442.17	467.00	325.43	467.00	
325.43	315.79	442.17	315.79	442.17	467.00	325.43	467.00	
325.43	315.79	442.16	315.79	442.16	467.00	325.43	467.00	
325.44	315.79	442.16	315.79	442.16	467.01	325.44	467.01	
325.44	315.79	442.16	315.79	442.16	467.01	325.44	467.01	
325.44	315.80	442.17	315.80	442.17	467.00	325.44	467.00	
325.44	315.80	442.16	315.80	442.16	467.00	325.44	467.00	
325.44	315.79	442.17	315.79	442.17	467.00	325.44	467.00	
325.44	315.79	442.16	315.79	442.16	467.01	325.44	467.01	
325.44	315.79	442.16	315.79	442.16	467.00	325.44	467.00	
325.43	315.79	442.17	315.79	442.17	467.00	325.43	467.00	
325.43	315.79	442.17	315.79	442.17	467.00	325.43	467.00	
325.43	315.79	442.19	315.79	442.19	467.01	325.43	467.01	
325.43	315.78	442.20	315.78	442.20	467.02	325.43	467.02	
325.43	315.78	442.18	315.78	442.18	467.01	325.43	467.01	
325.43	315.78	442.19	315.78	442.19	467.01	325.43	467.01	
325.44	315.78	442.19	315.78	442.19	467.01	325.44	467.01	
325.44	315.78	442.18	315.78	442.18	467.01	325.44	467.01	
325.44	315.78	442.18	315.78	442.18	467.00	325.44	467.00	
325.44	315.78	442.17	315.78	442.17	467.02	325.44	467.02	
325.44	315.78	442.17	315.78	442.17	467.02	325.44	467.02	
325.44	315.78	442.18	315.78	442.18	467.01	325.44	467.01	
325.44	315.78	442.19	315.78	442.19	467.01	325.44	467.01	
325.44	315.78	442.16	315.78	442.16	467.00	325.44	467.00	
325.44	315.78	442.17	315.78	442.17	467.01	325.44	467.01	
325.44	315.78	442.15	315.78	442.15	467.00	325.44	467.00	
325.44	315.78	442.16	315.78	442.16	467.00	325.44	467.00	
325.44	315.78	442.15	315.78	442.15	467.01	325.44	467.01	
325.44	315.78	442.15	315.78	442.15	467.00	325.44	467.00	
325.44	315.78	442.18	315.78	442.18	467.02	325.44	467.02	
325.44	315.78	442.18	315.78	442.18	467.01	325.44	467.01	
325.43	315.78	442.17	315.78	442.17	467.02	325.43	467.02	
325.31	316.57	442.29	316.57	442.29	465.51	325.31	465.51	
