315.00	311.00	451.00	306.00	457.00	494.00	326.00	502.00	
315.27	311.11	451.07	304.09	461.59	493.99	325.96	501.99	
314.87	311.44	451.15	304.10	462.06	494.03	325.93	501.99	
314.86	311.03	462.01	311.03	462.01	495.02	314.86	495.02	
314.85	311.03	462.05	311.03	462.05	495.01	314.85	495.01	
314.84	311.03	461.97	311.03	461.97	495.02	314.84	495.02	
314.85	311.03	461.58	311.03	461.58	495.02	314.85	495.02	
314.84	311.04	461.28	311.04	461.28	494.98	314.84	494.98	
314.86	311.08	450.09	304.01	461.20	494.00	325.97	502.03	
314.86	311.08	450.06	304.01	461.18	494.00	325.98	502.03	
314.87	311.09	449.98	304.00	461.09	494.02	325.98	502.03	
314.87	311.08	449.90	304.03	461.03	494.02	326.00	502.02	
314.87	311.09	449.90	304.04	461.01	494.02	325.98	502.02	
314.87	311.09	449.77	304.03	460.88	493.99	325.98	502.03	
314.88	311.09	449.78	304.04	460.87	493.99	325.98	502.03	
314.87	311.10	449.74	304.02	460.86	494.00	326.00	502.04	
314.88	311.09	449.77	304.05	460.86	494.00	325.98	502.03	
314.88	311.10	460.82	311.10	460.82	494.99	314.88	494.99	
314.81	311.04	460.90	311.04	460.90	495.08	314.81	495.08	
315.02	311.21	449.80	304.09	460.76	494.01	325.98	502.03	
314.76	311.31	449.72	304.10	460.97	494.01	326.01	502.03	
314.85	311.12	460.91	311.12	460.91	495.00	314.85	495.00	
315.18	311.28	449.91	304.18	460.75	493.97	326.01	502.03	
315.84	311.13	450.10	304.21	460.26	495.10	326.00	502.03	
316.61	311.25	450.11	304.18	459.46	494.02	325.95	502.03	
317.52	310.16	450.15	304.04	458.60	495.92	325.98	502.03	
318.28	309.47	450.31	303.99	458.01	496.55	325.98	502.03	
318.32	309.81	450.35	304.06	458.03	496.26	326.00	502.01	
318.03	309.42	450.32	303.98	458.28	496.59	325.99	502.02	
317.84	309.13	450.31	303.96	458.46	496.86	325.99	502.03	
317.06	308.37	459.25	308.37	459.25	497.57	317.06	497.57	
317.18	307.44	459.11	307.44	459.11	498.31	317.18	498.31	
317.21	307.30	459.17	307.30	459.17	498.40	317.21	498.40	
317.24	307.54	459.17	307.54	459.17	498.12	317.24	498.12	
317.13	307.70	459.29	307.70	459.29	497.94	317.13	497.94	
